compound,receptor,seed,pose_rank,score_kcal_mol,pose_file
20,8Z8A,1,2,-6.657,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c20_8Z8A_seed1.pdbqt
20,8Z8A,1,3,-5.703,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c20_8Z8A_seed1.pdbqt
20,8Z8A,1,4,-5.452,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c20_8Z8A_seed1.pdbqt
20,8Z8A,1,5,-5.451,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c20_8Z8A_seed1.pdbqt
21,8Z8A,20260803,1,-6.766,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c21_8Z8A_seed20260803.pdbqt
21,8Z8A,20260803,2,-6.298,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c21_8Z8A_seed20260803.pdbqt
21,8Z8A,20260803,3,-5.396,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c21_8Z8A_seed20260803.pdbqt
21,8Z8A,20260803,4,-4.571,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c21_8Z8A_seed20260803.pdbqt
21,8Z8A,20260803,5,-4.51,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c21_8Z8A_seed20260803.pdbqt
21,8Z8A,1,1,-6.781,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c21_8Z8A_seed1.pdbqt
21,8Z8A,1,2,-5.795,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c21_8Z8A_seed1.pdbqt
21,8Z8A,1,3,-4.593,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c21_8Z8A_seed1.pdbqt
21,8Z8A,1,4,-4.485,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c21_8Z8A_seed1.pdbqt
21,8Z8A,1,5,-4.344,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c21_8Z8A_seed1.pdbqt
22,8Z8A,20260803,1,0.011,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c22_8Z8A_seed20260803.pdbqt
22,8Z8A,20260803,2,0.128,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c22_8Z8A_seed20260803.pdbqt
22,8Z8A,20260803,3,1.324,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c22_8Z8A_seed20260803.pdbqt
22,8Z8A,20260803,4,2.308,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c22_8Z8A_seed20260803.pdbqt
22,8Z8A,1,1,-0.882,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c22_8Z8A_seed1.pdbqt
